,id,name,market_cap,price_change_percentage_24h,twitter_followers,circ_perc,clusters
0,tether,Tether,78556956692.0,0.30402,194717,100.0,2
1,solana,Solana,44266811886.0,4.71225,1267322,61.35189980281615,2
2,usd-coin,USD Coin,44221454781.0,0.48121,0,99.99975143856665,2
3,cardano,Cardano,39638323947.0,8.39128,786483,71.25864592980778,2
4,ripple,XRP,36436545234.0,4.03631,2355535,47.577198013,2
5,polkadot,Polkadot,28164337870.0,9.00632,1088018,92.98669377735771,2
6,terra-luna,Terra,27767359008.0,7.26215,294716,43.0971199527561,2
7,avalanche-2,Avalanche,22923917618.0,9.36348,516425,64.68017983304932,2
8,dogecoin,Dogecoin,20491119337.0,7.38121,2822450,100.0,2
9,matic-network,Polygon,16068051973.0,8.71693,1125539,68.72890164270001,2
10,shiba-inu,Shiba Inu,15729932917.0,6.3996,2545748,54.91493908905122,2
11,binance-usd,Binance USD,14066583845.0,0.50716,28436,100.0,1
12,chainlink,Chainlink,12264026834.0,-2.62255,711201,46.70095504397637,0
13,crypto-com-chain,Crypto.com Coin,11990023351.0,5.48925,1577776,83.478182143764,2
14,cosmos,Cosmos,11587206802.0,6.74818,302807,100.0,1
15,wrapped-bitcoin,Wrapped Bitcoin,11430626722.0,2.43468,0,100.0,1
16,near,Near,10956114575.0,11.41339,271554,60.78443329689149,1
17,terrausd,TerraUSD,10579529423.0,0.19879,291856,99.99866386239758,1
18,algorand,Algorand,9638054459.0,7.18186,221723,93.57564186128138,1
19,litecoin,Litecoin,9219404848.0,3.96266,207085,82.61423599222775,1
20,dai,Dai,9033594120.0,0.33841,194754,100.0,1
21,uniswap,Uniswap,7376391029.0,4.22461,797830,45.23269195437781,0
22,fantom,Fantom,7169337223.0,20.30915,311666,80.03630648850394,3
23,bitcoin-cash,Bitcoin Cash,7035623106.0,1.42924,0,90.25273760310667,1
24,internet-computer,Internet Computer,6805856318.0,-2.30745,463303,41.7100356707337,0
25,tron,TRON,6777727380.0,4.58023,221,99.9407241102008,1
26,okb,OKB,6765281825.0,7.44767,715572,87.56000377333334,1
27,stellar,Stellar,6711497160.0,8.45188,718041,49.50228641463863,0
28,ftx-token,FTX Token,5535292078.0,3.67247,365179,41.433372263430584,0
29,staked-ether,Lido Staked Ether,5473922887.0,4.37267,56186,100.0,1
30,hedera-hashgraph,Hedera,5340144527.0,8.61181,198783,37.263199578,0
31,vechain,VeChain,5224259949.0,6.47302,544467,76.99078883963197,1
32,axie-infinity,Axie Infinity,5222564973.0,6.59665,843854,25.884662342334103,0
33,magic-internet-money,Magic Internet Money,4631193354.0,0.17068,106914,100.0,1
34,the-sandbox,The Sandbox,4505011926.0,10.00025,741065,30.698277307444076,0
35,compound-ether,cETH,4487540841.0,4.45431,212751,100.0,1
36,filecoin,Filecoin,4320551171.0,3.43843,133223,7.498060139574967,0
37,elrond-erd-2,Elrond,4241869141.0,6.07713,435150,99.84766526539104,1
38,theta-token,Theta Network,4200844990.0,6.00745,238046,100.0,1
39,ethereum-classic,Ethereum Classic,3970596032.0,3.43066,603667,62.760113288081165,1
40,decentraland,Decentraland,3945480884.0,5.63106,457804,60.503075331737065,0
